"accountId","transaction_hash"
"nf-payments2.near","H934dS1zcD34T7EYhaG6VLVisM3yZos9MZByo7CGUiYo"
"nf-payments2.near","FwCFUjL9nxR2yDAxpXhVyhGJSWFPiuVmJumKah2fdTky"
"nf-payments2.near","7NQ87gTeeTokRvfejLK5147UpjZLqJ4QmXkPEwfWdVrb"
"nf-payments2.near","BdEGRAUnUrvkNnEcjuEAcPfyJdM2HNr1DCNGbeFpJWX7"
"nf-payments2.near","97P2mssWBmCRmzaaJmRTUx3xM3uFCeqwrkoNRawvAdqd"
"nf-payments2.near","4bqtJKKQUoWp2j9TY3cjMjKuEk73PWAQMDaBvRY2fLqY"
"nf-payments2.near","FdhudD9Gmk7d63mWNoUzvtckMBNiJ7hvEL6Efik19Twb"
"nf-payments2.near","6UQtDiyE5dgkP7hLWefAGFWk9nKR8uiN4CFkuqE7ZRZS"
"nf-payments2.near","36mEMMtzS3SsgoThb6NcXrm3LBDUnwUatdqhxu68Kckd"
"nfendowment03.near","3na2fcL4ed6qCTc1dxqgLpyfoSERawQEvZ4Qs6sCe7Jx"
"nf-payments2.near","JDs1TNad3k22FyARJSR4vK75Ft2zzpuqF4mC5tvKhpYA"
"nf-payments2.near","Ao5pmU71Lbmn5tn6nAkEh8dQfCRSE72HU6UY8j8p6DP6"
"nf-payments2.near","DHWYVFXDodnvni5HhZCaUb9vTi9xi38e7DhXxt3wBhh"
"nf-payments2.near","A1SgfwshsgperUUZc6zCR2gpBQNnQ48S8ANPn2851jxb"
"nf-payments2.near","CPUJpEZQuR1tWkKQg6tYW5YL6yPZ3UnJTxGYRCBhgLRq"
"nf-payments2.near","5oMcZsZbWsXd5u3LTT8pkLaMNebWVtENVJFMqDcDCoBi"
"nf-payments2.near","GodDn23MSgMrjyKNaPv93PvUwtFwLBrarUpafztzPUeU"
"nf-payments2.near","EGkAz4B1SxGXxVX6iccgS8nVi6LAp1uf3aVPcNGw1MxP"
"nf-payments2.near","6bDBifhUX6d2TutDnkTqfNZ1hGzBBRy5wrSXr1qdhawy"
"nf-payments2.near","CtszDJG4a1iw8rLfyxxEZoBgXWAnpHijgnges7ycKwos"
"nf-payments2.near","8LLhcxzNRMHZQr6Bjy6vobZQAPSf2YQJr5XMs9Lq6Vuh"
"nf-payments2.near","FKHFVPkjMumt3ratq8U3VLpqTbSvGLgufyaYGhG8Qm6b"
"nf-payments2.near","Fr2k3mKzYnykU8gFP8dXa6CHZYEJ84LMUFs1A7V9hYCc"
"nf-payments2.near","E7gaBXMprh7SgVirdyaLcKYzPfG2YBrJ7ExUiA2CvfZU"
"nf-payments2.near","5cPJkqujQLZYUcmSagaPE4vZybgifg8uhca6vYYzKtGB"
"nf-payments2.near","Bi5pJUkXSsTVVogUns2nqwQERJs9RKb38ztPvgkMGoRK"
"nf-payments2.near","DuxRW1RpqZukhHDKM5wB1qa3ePi66Ybrwk8daVP7EyTb"
"nf-payments2.near","HbgssC6yfAGTPQNkAKd2qxBCu5382CRuy99GxpfTZUSm"
"nf-payments2.near","9A2EyR4bPf2T2mC7Bz1YSVYpGUd3NavGza6YCc3ikULW"
"nf-payments2.near","34NFDFYnGGV2hiSoW18ciBhYfUWqJSLzk481Cd9vJtSq"
"nf-payments2.near","AXCqFS7pr6mWb4YWV3qBLNn5HDxfYKxNW5pkFGsY6EFc"
"nfendowment03.near","3LXZh9hqffYtBu1wZPrtJTQUgz86KPPXsAKQwvFBBePp"
"nfendowment03.near","2F1SrkrDdFKeR9sSpJ7pvxm4SmYXS2HCGLRWdeMdT5NL"
"nf-payments2.near","BDHvNBS6PYkoXPNgZrdB6jj9a8twZXpFfQLaJ1wqT9K5"
"nf-payments2.near","FTH1ivbaLayU78CD5TWZTGcTvNxPCSpcsuqsHkU3H9VP"
"nf-payments2.near","JAKPsk6pxLKptRVUPGxobJ9qxh8xhzoNdM1eh7hzA7K4"
"nf-payments2.near","BotLg94JuqLwErR9eZf8f8Se585KXZifhcd2VRGB2M8Z"
"nf-payments2.near","CqYHUoPttLPUdCX8k6Tdmj7SzegdthMRqnZs6tUcRGwu"
"nf-payments2.near","4BupGieBsDnxEgPea7H5r7MB4cKUjhFn1ei5QtPnzAsb"
"nf-payments2.near","ErUtQL93FWD2kSmLhqbBn2YmDnK8qXBB4aiVbSmiQ9TL"
"nf-payments2.near","2eYXYWoKLps7CxXM1Cv7ECgeBX5FqPiAy1XoxUcvxjgN"
"nf-payments2.near","GpmhAsFZHcqtDg2sZUL8bNwbe3mBMewGhYYvYU9WciFc"
"nf-payments2.near","5Qsnewtf1HSkxc3gYEcWhCmtaaUp8tsoEtUFraLhQc8z"
"nf-payments2.near","Hnyf1WKJiYULz8dNMB9MXA699BQWy8sRjmGY9fAfV2BF"
"nf-payments2.near","DyVQih4tQEpL5Fu2uaJAhaoDLEJHYiRJea52Gkz6geDd"
"nf-payments2.near","ABJCaWqK8CVER188zweeWCjqUoCRfxj147b5M4WJYj4S"
"nf-payments2.near","7kyfJDBa3DPu3dtFGZ574JyVgQnAwvmDCx3HLWdXKu8q"
"nfendowment03.near","7kyfJDBa3DPu3dtFGZ574JyVgQnAwvmDCx3HLWdXKu8q"
"nf-payments2.near","8TrrbhYkWwTL7Dj2ELi9iieesjT2hxnPypCfAwQb76V8"
"nf-payments2.near","4hovYk9zTXNEeex5yMvV9a9bEzD3eMxNCsKMsjexV69A"
"nf-payments2.near","HUna4u1TcVrHZYD4vxLXahHgpEGF59wREL5xyfMb1zLs"
"nf-payments2.near","54ZgiYXTtuDj4kEaSMeckHuAWP2DnoLjbe2dMroippUP"
"nf-payments2.near","8fvXM4ya681SBPWrnK32C7NnBL5LiSxXzqq8GzDzRwp8"
"nf-payments2.near","3mcjTj6wHjJCqCtbYE8KUL8bHpzTcL3HhL4SbV3eKPPG"
"nf-payments2.near","32AMnAakg5KUzoaKF8kzDptdSUKzQNEJs7UPsqB7mFk9"
"nf-payments2.near","SeRtTEj7D4ekBayEFpyBfyM8f5zhPa3zfEqrMyj7AJc"
